Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
>>,invis
save,save
>>,invis
save,save
>>,invis
check,>>
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
check,>>
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
check,>>
insert document,insert document
>>,invis
save,save
check,>>
check,>>
check,>>
finish editing,finish editing
>>,invis
>>,invis
finish editing,finish editing
save,save
check,check
>>,invis
finish editing,finish editing
>>,invis
>>,invis
>>,invis
>>,invis
