Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
>>,invis
>>,invis
save,save
insert document,insert document
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
finish editing,finish editing
>>,invis
insert document,>>
save,save
>>,invis
>>,invis
finish editing,finish editing
save,save
>>,invis
finish editing,finish editing
>>,invis
>>,invis
>>,invis
>>,invis
