Log,Model
>>,invis
plan,plan
initialize,initialize
>>,invis
save,>>
save,>>
save,>>
save,>>
save,save
>>,invis
finish preparations,finish preparations
begin preparations,begin preparations
prepare external,prepare external
abort external,abort external
>>,invis
>>,invis
finish preparations,finish preparations
prepare external,prepare external
begin preparations,begin preparations
abort external,abort external
>>,invis
>>,invis
finish preparations,finish preparations
begin preparations,begin preparations
prepare external,prepare external
abort external,abort external
>>,invis
>>,invis
finish preparations,finish preparations
begin preparations,begin preparations
prepare external,prepare external
>>,invis
>>,invis
>>,invis
save,>>
save,save
performed,performed
finish editing,>>
begin editing,>>
save,>>
save,>>
finish editing,finish editing
