Log,Model
>>,invis
plan,plan
initialize,initialize
>>,invis
save,save
>>,invis
>>,invis
save,save
>>,invis
>>,invis
save,save
>>,invis
>>,invis
save,save
>>,invis
>>,invis
finish preparations,finish preparations
begin preparations,begin preparations
prepare external,prepare external
abort external,abort external
>>,invis
>>,invis
>>,finish preparations
>>,prepare external
begin preparations,begin preparations
>>,invis
>>,invis
>>,invis
finish preparations,finish preparations
>>,begin preparations
prepare external,prepare external
abort external,abort external
>>,invis
>>,invis
finish preparations,finish preparations
begin preparations,begin preparations
prepare external,prepare external
abort external,abort external
>>,invis
>>,invis
finish preparations,finish preparations
begin preparations,begin preparations
prepare external,prepare external
>>,invis
>>,invis
>>,invis
save,save
>>,invis
>>,invis
save,save
performed,performed
finish editing,finish editing
begin editing,begin editing
>>,invis
save,save
>>,invis
>>,invis
save,save
finish editing,finish editing
>>,invis
>>,invis
>>,invis
