Log,Model
initialize,initialize
>>,invis
>>,[invisible]
>>,invis
begin editing,>>
finish pre-check,finish pre-check
>>,invis
>>,[invisible]
>>,invis
create,>>
begin editing,>>
finish pre-check,finish pre-check
>>,invis
>>,[invisible]
create,>>
begin editing,>>
insert document,insert document
calculate,>>
finish pre-check,finish pre-check
>>,invis
>>,[invisible]
>>,invis
finish editing,>>
begin editing,>>
begin editing,>>
save,>>
save,>>
calculate,>>
finish pre-check,finish pre-check
>>,invis
>>,[invisible]
>>,invis
finish pre-check,finish pre-check
>>,invis
>>,[invisible]
>>,invis
calculate,>>
finish pre-check,finish pre-check
>>,invis
>>,[invisible]
>>,invis
finish pre-check,finish pre-check
>>,invis
>>,invis
>>,create
>>,invis
save,save
>>,invis
calculate,>>
finish pre-check,>>
save,save
>>,invis
calculate,>>
finish pre-check,>>
calculate,>>
save,save
>>,invis
calculate,>>
calculate,>>
finish pre-check,>>
finish editing,>>
begin editing,>>
begin editing,>>
save,save
>>,invis
calculate,>>
finish pre-check,>>
finish editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,begin editing
calculate,calculate
finish editing,finish editing
>>,invis
>>,[invisible]
