Log,Model
initialize,initialize
>>,invis
>>,[invisible]
>>,invis
begin editing,>>
finish pre-check,finish pre-check
>>,invis
>>,invis
finish editing,>>
finish editing,>>
create,create
begin editing,>>
calculate,>>
finish editing,>>
begin editing,begin editing
>>,invis
save,save
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
>>,[invisible]
