Log,Model
initialize,initialize
>>,invis
>>,[invisible]
>>,invis
begin editing,>>
finish pre-check,finish pre-check
>>,invis
>>,[invisible]
>>,invis
finish editing,>>
finish editing,>>
create,>>
begin editing,>>
begin editing,>>
finish pre-check,finish pre-check
>>,invis
>>,[invisible]
>>,invis
finish editing,>>
create,>>
clear,>>
begin editing,>>
begin editing,>>
finish pre-check,finish pre-check
>>,invis
>>,invis
finish editing,>>
create,create
begin editing,>>
calculate,>>
calculate,>>
calculate,>>
calculate,calculate
>>,invis
save,save
calculate,>>
calculate,>>
begin editing,>>
calculate,>>
calculate,>>
calculate,>>
finish editing,>>
begin editing,begin editing
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
>>,[invisible]
