Log,Model
initialize,initialize
>>,invis
>>,[invisible]
>>,invis
begin editing,>>
finish pre-check,finish pre-check
>>,invis
>>,[invisible]
>>,invis
finish editing,>>
finish editing,>>
create,>>
begin editing,>>
begin editing,>>
finish pre-check,finish pre-check
>>,invis
>>,invis
finish editing,>>
create,create
>>,invis
begin editing,>>
insert document,>>
save,save
>>,invis
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
insert document,>>
save,save
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,begin editing
>>,invis
save,save
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
>>,[invisible]
