Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
create,create
>>,invis
save,save
>>,invis
save,save
>>,invis
calculate,>>
finish pre-check,>>
finish editing,>>
begin editing,>>
insert document,>>
save,save
calculate,>>
finish editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,begin editing
>>,invis
save,save
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
save,save
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,calculate
>>,invis
>>,invis
>>,[invisible]
finish editing,>>
