Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
create,create
>>,invis
calculate,>>
save,save
>>,invis
save,save
>>,invis
calculate,>>
finish pre-check,>>
finish editing,>>
calculate,>>
insert document,>>
save,save
calculate,>>
finish editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,begin editing
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
>>,[invisible]
