Log,Model
initialize,initialize
>>,invis
>>,[invisible]
>>,invis
begin editing,>>
finish pre-check,finish pre-check
>>,invis
>>,invis
finish editing,>>
finish editing,>>
create,create
>>,invis
begin editing,>>
calculate,>>
calculate,>>
calculate,>>
calculate,>>
calculate,>>
calculate,>>
begin editing,>>
calculate,>>
calculate,>>
save,save
>>,invis
begin editing,>>
insert document,>>
save,save
calculate,>>
finish editing,>>
calculate,>>
begin editing,begin editing
>>,invis
save,save
calculate,>>
finish editing,>>
calculate,>>
calculate,calculate
>>,invis
begin editing,>>
save,save
calculate,>>
finish editing,finish editing
>>,invis
calculate,>>
save,save
>>,invis
>>,invis
>>,[invisible]
calculate,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
