Log,Model
initialize,initialize
begin editing,>>
finish pre-check,>>
finish editing,>>
finish editing,>>
create,>>
clear,clear
>>,[invisible]
>>,invis
begin editing,>>
begin editing,>>
finish pre-check,finish pre-check
>>,invis
>>,[invisible]
>>,invis
finish editing,>>
create,>>
clear,>>
begin editing,>>
begin editing,>>
finish pre-check,finish pre-check
>>,invis
>>,invis
finish editing,>>
create,create
>>,invis
begin editing,>>
calculate,>>
calculate,>>
calculate,>>
calculate,>>
calculate,>>
finish editing,>>
calculate,>>
calculate,>>
finish editing,>>
calculate,>>
calculate,>>
finish editing,>>
calculate,>>
begin editing,>>
insert document,>>
save,save
calculate,>>
finish editing,>>
calculate,>>
begin editing,begin editing
>>,invis
save,save
calculate,>>
finish editing,>>
calculate,calculate
>>,invis
begin editing,>>
save,save
calculate,>>
finish editing,finish editing
>>,invis
calculate,>>
begin editing,>>
save,save
>>,invis
calculate,>>
calculate,>>
save,save
>>,invis
calculate,>>
save,save
>>,invis
>>,invis
>>,[invisible]
calculate,>>
calculate,>>
finish editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
