Log,Model
initialize,initialize
>>,invis
>>,[invisible]
>>,invis
begin editing,>>
finish pre-check,finish pre-check
>>,invis
>>,invis
create,create
>>,invis
calculate,>>
finish editing,>>
calculate,>>
finish editing,>>
insert document,>>
save,save
calculate,>>
finish editing,finish editing
>>,invis
save,save
calculate,>>
calculate,>>
finish editing,>>
begin editing,begin editing
>>,invis
save,save
calculate,>>
finish editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,calculate
>>,invis
>>,invis
>>,[invisible]
finish editing,>>
