Log,Model
initialize,initialize
begin editing,>>
create,>>
clear,>>
create,>>
clear,clear
>>,[invisible]
>>,invis
>>,invis
>>,invis
>>,invis
create,create
>>,invis
calculate,>>
finish pre-check,>>
save,save
>>,invis
calculate,>>
finish pre-check,>>
finish editing,>>
save,save
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,begin editing
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
>>,[invisible]
