Log,Model
initialize,initialize
>>,invis
>>,[invisible]
>>,invis
begin editing,>>
finish pre-check,finish pre-check
>>,invis
>>,invis
finish editing,>>
finish editing,>>
create,create
>>,invis
begin editing,>>
begin editing,>>
save,save
>>,invis
finish pre-check,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,begin editing
calculate,calculate
finish editing,finish editing
>>,invis
>>,[invisible]
