Log,Model
initialize,initialize
>>,invis
>>,[invisible]
>>,invis
begin editing,>>
create,>>
calculate,>>
finish pre-check,finish pre-check
>>,invis
>>,[invisible]
>>,invis
finish pre-check,finish pre-check
>>,invis
>>,[invisible]
>>,invis
finish pre-check,finish pre-check
>>,invis
>>,[invisible]
>>,invis
finish pre-check,finish pre-check
>>,invis
>>,[invisible]
>>,invis
finish pre-check,finish pre-check
>>,invis
>>,[invisible]
>>,invis
finish pre-check,finish pre-check
>>,invis
>>,[invisible]
>>,invis
finish pre-check,finish pre-check
>>,invis
>>,invis
calculate,>>
discard,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,begin editing
>>,create
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
>>,[invisible]
