Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
finish editing,finish editing
>>,invis
>>,[invisible]
>>,invis
create,>>
begin editing,>>
finish editing,finish editing
begin editing,>>
insert document,insert document
>>,invis
finish editing,finish editing
>>,invis
begin editing,>>
finish editing,finish editing
save,save
>>,invis
>>,invis
save,save
>>,invis
save,save
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
clear,>>
begin editing,>>
create,>>
save,save
finish editing,finish editing
>>,invis
>>,invis
>>,invis
>>,invis
