Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
finish editing,finish editing
>>,invis
create,>>
begin editing,>>
create,>>
create,>>
calculate,>>
finish editing,finish editing
>>,invis
>>,[invisible]
>>,invis
begin editing,>>
create,>>
finish editing,finish editing
save,save
>>,invis
>>,invis
finish editing,finish editing
restart editing,>>
save,save
>>,invis
>>,invis
calculate,>>
finish pre-check,>>
finish editing,finish editing
>>,invis
>>,invis
restart editing,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
