Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
finish editing,finish editing
>>,invis
create,>>
begin editing,>>
save,save
>>,[invisible]
>>,invis
calculate,>>
save,save
>>,invis
calculate,>>
save,save
>>,invis
save,save
insert document,insert document
>>,invis
save,save
>>,invis
>>,invis
calculate,>>
finish editing,finish editing
begin editing,>>
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
>>,invis
calculate,>>
finish editing,finish editing
save,save
>>,invis
clear,>>
create,>>
save,save
>>,invis
>>,invis
calculate,>>
finish editing,finish editing
begin editing,>>
save,save
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
save,save
>>,invis
>>,invis
save,save
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
>>,invis
