Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
finish editing,finish editing
>>,invis
>>,[invisible]
>>,invis
>>,invis
create,>>
begin editing,>>
save,save
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
begin editing,>>
save,save
calculate,>>
finish editing,finish editing
>>,invis
save,save
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
save,save
>>,invis
begin editing,>>
save,save
>>,invis
>>,invis
calculate,>>
finish editing,finish editing
begin editing,>>
save,save
>>,invis
save,save
>>,invis
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
