Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
finish editing,finish editing
>>,invis
create,>>
begin editing,>>
save,save
>>,[invisible]
>>,invis
save,save
>>,invis
save,save
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
discard,>>
save,save
>>,invis
calculate,>>
finish editing,finish editing
begin editing,>>
insert document,insert document
>>,invis
save,save
>>,invis
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
finish editing,finish editing
>>,invis
calculate,>>
finish editing,finish editing
save,save
>>,invis
>>,invis
finish editing,finish editing
>>,invis
>>,invis
>>,invis
