Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
finish editing,finish editing
>>,invis
create,>>
begin editing,>>
create,>>
save,save
>>,[invisible]
>>,invis
calculate,>>
calculate,>>
save,save
>>,invis
calculate,>>
finish editing,finish editing
begin editing,>>
insert document,insert document
>>,invis
save,save
>>,invis
save,save
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
insert document,>>
save,save
>>,invis
>>,invis
finish editing,finish editing
>>,invis
>>,invis
>>,invis
