Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
create,>>
finish editing,finish editing
>>,invis
>>,[invisible]
>>,invis
>>,invis
begin editing,>>
save,save
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
begin editing,>>
save,save
calculate,>>
calculate,>>
finish editing,finish editing
>>,invis
save,save
>>,invis
finish editing,finish editing
>>,invis
restart editing,>>
restart editing,>>
save,save
>>,invis
calculate,>>
save,save
>>,invis
>>,invis
calculate,>>
finish pre-check,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
