Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
finish editing,finish editing
>>,invis
create,>>
begin editing,>>
create,>>
save,save
>>,[invisible]
>>,invis
calculate,>>
finish editing,finish editing
begin editing,>>
insert document,insert document
>>,invis
save,save
>>,invis
>>,invis
save,save
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
begin editing,>>
save,save
finish editing,finish editing
>>,invis
>>,invis
restart editing,>>
calculate,>>
finish pre-check,>>
finish editing,finish editing
restart editing,>>
save,save
>>,invis
>>,invis
calculate,>>
calculate,>>
finish pre-check,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
