Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
finish editing,finish editing
>>,invis
create,>>
begin editing,>>
save,save
insert document,insert document
>>,[invisible]
>>,invis
>>,invis
save,save
>>,invis
save,save
>>,invis
calculate,>>
calculate,>>
save,save
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
begin editing,>>
save,save
>>,invis
save,save
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
begin editing,>>
finish editing,finish editing
>>,invis
insert document,>>
begin editing,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
