Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
create,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
save,save
>>,[invisible]
>>,invis
calculate,>>
finish editing,finish editing
begin editing,>>
insert document,insert document
>>,invis
>>,invis
finish editing,finish editing
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
>>,invis
finish editing,finish editing
save,save
>>,invis
>>,invis
finish editing,finish editing
>>,invis
>>,invis
>>,invis
