Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
>>,[invisible]
>>,invis
create,>>
save,save
>>,invis
calculate,>>
save,save
>>,invis
save,save
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
finish editing,finish editing
>>,invis
calculate,>>
finish editing,finish editing
save,save
>>,invis
calculate,>>
finish editing,finish editing
insert document,insert document
>>,invis
save,save
>>,invis
begin editing,>>
create,>>
save,save
>>,invis
>>,invis
calculate,>>
finish editing,finish editing
begin editing,>>
save,save
>>,invis
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
