Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
finish editing,finish editing
>>,invis
create,>>
begin editing,>>
create,>>
calculate,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
save,save
>>,[invisible]
>>,invis
calculate,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
save,save
>>,invis
finish editing,finish editing
>>,invis
save,save
>>,invis
>>,invis
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
