Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
finish editing,finish editing
>>,invis
>>,[invisible]
>>,invis
>>,invis
create,>>
begin editing,>>
create,>>
create,>>
calculate,>>
calculate,>>
save,save
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
begin editing,>>
save,save
>>,invis
save,save
>>,invis
calculate,>>
save,save
calculate,>>
finish editing,finish editing
>>,invis
calculate,>>
save,save
>>,invis
>>,invis
finish editing,finish editing
>>,invis
>>,invis
>>,invis
