Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
create,>>
calculate,>>
calculate,>>
calculate,>>
finish editing,finish editing
>>,[invisible]
>>,invis
>>,invis
>>,invis
save,save
calculate,>>
finish editing,finish editing
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
finish editing,finish editing
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
calculate,>>
finish editing,finish editing
begin editing,>>
save,save
>>,invis
>>,invis
finish editing,finish editing
>>,invis
>>,invis
>>,invis
