Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
finish editing,finish editing
>>,invis
>>,[invisible]
>>,invis
>>,invis
create,>>
begin editing,>>
create,>>
save,save
finish editing,finish editing
>>,invis
>>,invis
begin editing,>>
save,save
finish editing,finish editing
>>,invis
begin editing,>>
save,save
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
save,save
>>,invis
save,save
>>,invis
>>,invis
calculate,>>
finish editing,finish editing
begin editing,>>
save,save
>>,invis
>>,invis
calculate,>>
finish editing,finish editing
begin editing,>>
save,save
>>,invis
>>,invis
finish editing,finish editing
>>,invis
>>,invis
>>,invis
