Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
create,>>
finish editing,finish editing
>>,invis
>>,[invisible]
>>,invis
begin editing,>>
save,save
>>,invis
save,save
>>,invis
calculate,>>
save,save
finish editing,finish editing
>>,invis
>>,invis
begin editing,>>
save,save
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
begin editing,>>
save,save
calculate,>>
finish editing,finish editing
insert document,insert document
>>,invis
save,save
>>,invis
>>,invis
save,save
calculate,>>
finish editing,finish editing
>>,invis
save,save
>>,invis
>>,invis
calculate,>>
finish editing,finish editing
begin editing,>>
save,save
>>,invis
>>,invis
calculate,>>
finish editing,finish editing
begin editing,>>
save,save
>>,invis
>>,invis
calculate,>>
finish editing,finish editing
begin editing,>>
save,save
>>,invis
save,save
>>,invis
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
