Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
>>,[invisible]
>>,invis
create,>>
create,>>
calculate,>>
save,save
>>,invis
save,save
>>,invis
save,save
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
begin editing,>>
save,save
finish editing,finish editing
>>,invis
save,save
insert document,insert document
>>,invis
save,save
>>,invis
>>,invis
finish editing,finish editing
save,save
>>,invis
>>,invis
finish editing,finish editing
begin editing,>>
save,save
>>,invis
>>,invis
finish editing,finish editing
>>,invis
>>,invis
>>,invis
