Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
>>,[invisible]
>>,invis
create,>>
create,>>
calculate,>>
save,save
>>,invis
save,save
finish editing,finish editing
>>,invis
begin editing,>>
save,save
>>,invis
finish editing,finish editing
>>,invis
begin editing,>>
save,save
insert document,insert document
>>,invis
>>,invis
calculate,>>
finish editing,finish editing
save,save
>>,invis
>>,invis
calculate,>>
finish editing,finish editing
restart editing,>>
restart editing,>>
save,save
>>,invis
>>,invis
finish pre-check,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
