Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
finish editing,finish editing
>>,invis
create,>>
begin editing,>>
save,save
>>,[invisible]
>>,invis
>>,invis
finish editing,finish editing
save,save
>>,invis
finish editing,finish editing
>>,invis
>>,invis
begin editing,>>
finish editing,finish editing
>>,invis
finish editing,finish editing
insert document,insert document
save,save
>>,invis
save,save
>>,invis
>>,invis
finish editing,finish editing
>>,invis
>>,invis
>>,invis
