Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
finish editing,finish editing
>>,invis
create,>>
begin editing,>>
finish editing,finish editing
>>,[invisible]
>>,invis
save,save
>>,invis
finish editing,finish editing
>>,invis
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
begin editing,>>
save,save
>>,invis
>>,invis
>>,invis
finish editing,finish editing
begin editing,>>
save,save
>>,invis
finish editing,finish editing
>>,invis
>>,invis
begin editing,>>
finish editing,finish editing
>>,invis
begin editing,>>
finish editing,finish editing
>>,invis
begin editing,>>
finish editing,finish editing
begin editing,>>
save,save
>>,invis
finish editing,finish editing
>>,invis
>>,invis
finish editing,finish editing
save,save
>>,invis
>>,invis
finish editing,finish editing
>>,invis
begin editing,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
