Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
finish editing,finish editing
>>,invis
create,>>
begin editing,>>
create,>>
calculate,>>
calculate,>>
save,save
>>,[invisible]
>>,invis
>>,invis
calculate,>>
calculate,>>
finish editing,finish editing
begin editing,>>
save,save
>>,invis
finish editing,finish editing
>>,invis
begin editing,>>
save,save
>>,invis
calculate,>>
save,save
>>,invis
calculate,>>
save,save
calculate,>>
insert document,insert document
>>,invis
>>,invis
save,save
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
>>,invis
