Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
finish editing,finish editing
>>,invis
>>,[invisible]
>>,invis
create,>>
begin editing,>>
create,>>
create,>>
create,>>
save,save
>>,invis
save,save
>>,invis
save,save
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
begin editing,>>
save,save
calculate,>>
finish editing,finish editing
begin editing,>>
insert document,insert document
>>,invis
save,save
>>,invis
calculate,>>
save,save
>>,invis
calculate,>>
save,save
>>,invis
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
