Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
finish editing,finish editing
>>,invis
create,>>
begin editing,>>
create,>>
save,save
>>,[invisible]
>>,invis
save,save
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
save,save
>>,invis
finish editing,finish editing
restart editing,>>
restart editing,>>
finish pre-check,>>
restart editing,>>
insert document,insert document
>>,invis
save,save
>>,invis
>>,invis
finish pre-check,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
