Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
>>,[invisible]
>>,invis
create,>>
create,>>
calculate,>>
save,save
>>,invis
save,save
calculate,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
save,save
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
save,save
>>,invis
>>,invis
finish editing,finish editing
begin editing,>>
insert document,insert document
save,save
>>,invis
>>,invis
finish editing,finish editing
restart editing,>>
save,save
>>,invis
>>,invis
finish editing,finish editing
>>,invis
>>,invis
>>,invis
