Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
>>,[invisible]
>>,invis
create,>>
create,>>
calculate,>>
calculate,>>
save,save
>>,invis
calculate,>>
save,save
>>,invis
save,save
>>,invis
calculate,>>
save,save
>>,invis
save,save
>>,invis
calculate,>>
save,save
calculate,>>
finish editing,finish editing
begin editing,>>
insert document,insert document
>>,invis
>>,invis
calculate,>>
calculate,>>
calculate,>>
save,save
>>,invis
calculate,>>
save,save
>>,invis
calculate,>>
save,save
finish editing,finish editing
>>,invis
>>,invis
begin editing,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
