Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
finish editing,finish editing
>>,invis
create,>>
begin editing,>>
create,>>
create,>>
calculate,>>
calculate,>>
finish editing,finish editing
>>,[invisible]
>>,invis
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
save,save
calculate,>>
finish editing,finish editing
>>,invis
save,save
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
begin editing,>>
finish editing,finish editing
begin editing,>>
save,save
>>,invis
>>,invis
finish editing,finish editing
>>,invis
>>,invis
>>,invis
