Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
>>,[invisible]
>>,invis
>>,invis
create,>>
calculate,>>
save,save
finish editing,finish editing
>>,invis
>>,invis
finish editing,finish editing
save,save
>>,invis
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
finish editing,finish editing
>>,invis
begin editing,>>
save,save
>>,invis
>>,invis
finish editing,finish editing
>>,invis
finish editing,finish editing
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
finish editing,finish editing
save,save
>>,invis
>>,invis
save,save
finish editing,finish editing
>>,invis
>>,invis
>>,invis
>>,invis
