Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
>>,[invisible]
>>,invis
create,>>
create,>>
save,save
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
finish editing,finish editing
>>,invis
>>,invis
begin editing,>>
save,save
finish editing,finish editing
>>,invis
>>,invis
save,save
finish editing,finish editing
begin editing,>>
insert document,insert document
>>,invis
>>,invis
save,save
finish editing,finish editing
>>,invis
>>,invis
>>,invis
>>,invis
