Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
>>,[invisible]
>>,invis
create,>>
save,save
>>,invis
save,save
calculate,>>
calculate,>>
finish editing,finish editing
>>,invis
save,save
>>,invis
calculate,>>
finish editing,finish editing
begin editing,>>
insert document,insert document
>>,invis
save,save
>>,invis
finish editing,finish editing
>>,invis
>>,invis
finish editing,finish editing
save,save
>>,invis
finish editing,finish editing
>>,invis
begin editing,>>
save,save
>>,invis
>>,invis
finish editing,finish editing
>>,invis
>>,invis
>>,invis
