Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
finish editing,finish editing
>>,invis
create,>>
begin editing,>>
save,save
>>,[invisible]
>>,invis
>>,invis
calculate,>>
finish editing,finish editing
begin editing,>>
insert document,>>
save,save
>>,invis
>>,invis
calculate,>>
finish editing,finish editing
save,save
>>,invis
>>,invis
calculate,>>
finish editing,finish editing
restart editing,>>
save,save
>>,invis
calculate,>>
finish pre-check,>>
finish editing,finish editing
insert document,insert document
>>,invis
save,save
>>,invis
>>,invis
>>,invis
>>,invis
