Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
create,>>
create,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
save,save
>>,[invisible]
>>,invis
calculate,>>
finish editing,finish editing
begin editing,>>
insert document,insert document
>>,invis
save,save
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
save,save
>>,invis
>>,invis
calculate,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
