Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
create,>>
create,>>
create,>>
calculate,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
save,save
>>,[invisible]
>>,invis
finish editing,finish editing
begin editing,>>
insert document,insert document
>>,invis
save,save
>>,invis
>>,invis
save,save
finish editing,finish editing
>>,invis
>>,invis
begin editing,>>
save,save
>>,invis
save,save
calculate,>>
finish editing,finish editing
>>,invis
save,save
>>,invis
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
