Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
>>,[invisible]
>>,invis
create,>>
create,>>
create,>>
calculate,>>
save,save
>>,invis
save,save
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
save,save
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
save,save
>>,invis
calculate,>>
save,save
>>,invis
calculate,>>
save,save
>>,invis
calculate,>>
save,save
insert document,insert document
>>,invis
>>,invis
save,save
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
>>,invis
