Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
>>,[invisible]
>>,invis
create,>>
create,>>
calculate,>>
save,save
calculate,>>
finish editing,finish editing
begin editing,>>
calculate,>>
calculate,>>
insert document,insert document
>>,invis
save,save
>>,invis
calculate,>>
calculate,>>
save,save
>>,invis
>>,invis
calculate,>>
calculate,>>
save,save
>>,invis
calculate,>>
calculate,>>
calculate,>>
calculate,>>
calculate,>>
calculate,>>
save,save
>>,invis
save,save
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
begin editing,>>
save,save
>>,invis
save,save
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
>>,invis
