Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
create,>>
calculate,>>
finish editing,finish editing
>>,[invisible]
>>,invis
>>,invis
restart editing,>>
save,save
calculate,>>
calculate,>>
finish pre-check,>>
finish editing,finish editing
restart editing,>>
restart editing,>>
insert document,insert document
>>,invis
save,save
>>,invis
finish pre-check,>>
calculate,>>
finish pre-check,>>
finish editing,finish editing
>>,invis
restart editing,>>
restart editing,>>
save,save
>>,invis
>>,invis
calculate,>>
finish pre-check,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
