Log,Model
>>,invis
initialize,initialize
plan,plan
>>,invis
save,>>
save,save
>>,invis
finish preparations,finish preparations
begin preparations,begin preparations
prepare external,prepare external
>>,invis
>>,invis
>>,invis
>>,finish preparations
>>,prepare external
abort external,abort external
begin preparations,begin preparations
>>,invis
>>,invis
finish preparations,finish preparations
>>,begin preparations
prepare external,prepare external
abort external,abort external
>>,invis
>>,invis
>>,finish preparations
begin preparations,begin preparations
prepare external,prepare external
>>,invis
>>,invis
>>,invis
finish preparations,finish preparations
>>,prepare external
>>,begin preparations
>>,invis
>>,invis
>>,invis
save,>>
save,save
performed,performed
finish editing,>>
begin editing,>>
save,>>
save,>>
finish editing,finish editing
