Log,Model
>>,invis
initialize,initialize
plan,plan
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
>>,invis
finish preparations,finish preparations
begin preparations,begin preparations
prepare external,prepare external
>>,invis
abort external,abort external
>>,invis
finish preparations,finish preparations
begin preparations,begin preparations
prepare external,prepare external
>>,invis
abort external,abort external
>>,invis
finish preparations,finish preparations
begin preparations,begin preparations
prepare external,prepare external
>>,invis
abort external,abort external
>>,invis
finish preparations,finish preparations
begin preparations,begin preparations
prepare external,prepare external
>>,invis
>>,invis
save,save
>>,invis
save,save
>>,invis
performed,performed
finish editing,finish editing
begin editing,begin editing
save,save
>>,invis
save,save
>>,invis
>>,invis
finish editing,finish editing
begin editing,begin editing
>>,save
>>,invis
>>,invis
finish editing,finish editing
>>,invis
